nace2_division,nace2_section
1,1
2,1
3,1
4,
5,2
6,2
7,2
8,2
9,2
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,
35,4
36,5
37,5
38,5
39,5
40,
41,6
42,6
43,6
44,
45,7
46,7
47,7
48,
49,8
50,8
51,8
52,8
53,8
54,
55,9
56,9
57,
58,10
59,10
60,10
61,10
62,10
63,10
64,11
65,11
66,11
67,
68,12
69,13
70,13
71,13
72,13
73,13
74,13
75,13
76,
77,14
78,14
79,14
80,14
81,14
82,14
83,
84,15
85,16
86,17
87,17
88,17
89,18
90,18
91,18
92,18
93,18
94,19
95,19
96,19
97,20
98,20
99,21
