nace2_section_int, nace2_section_char, nace2_section_label
0,X,"Missing"
1,A,"Agriculture, Forestry and Fishing"
2,B,"Mining and Quarrying"
3,C,"Manufacturing"
4,D,"Electricity, Gas, Steam and Air Conditioning Supply"
5,E,"Water Supply; Sewerage, Waste Management and Remediation Activities"
6,F,"Construction"
7,G,"Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles"
8,H,"Transportation and Storage"
9,I,"Accommodation and Food Service Activities"
10,J,"Information and Communication"
11,K,"Financial and Insurance Activities"
12,L,"Real Estate Activities"
13,M,"Professional, Scientific and Technical Activities"
14,N,"Administrative and Support Service Activities"
15,O,"Public Administration and Defence; Compulsory Social Security"
16,P,"Education"
17,Q,"Human Health and Social Work Activities"
18,R,"Arts, Entertainment and Recreation"
19,S,"Other Service Activities"
20,T,"Activities of Households as Employers; Undifferentiated Goods and Services Producing Activities of Households for Own Use"
21,U,"Activities of Extraterritorial Organisations and Bodies"
